url,address,city_state_zip,full_address,lat,lon,address2,housing_type,baths,beds,sqft,soundscore,noise,central_air,date_sold,garage,lot_size,patio,porch, sold_price ,year_built
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-17/home/144007597,4020 Airport Blvd,"Austin, TX 78722","4020 Airport Blvd Austin, TX 78722",30.29311,-97.70816, #17,Apartment,2.5,3,2145,70,Moderate Noise,Y,4/19/2021,y,6403,Y,Y,750000,2017
https://www.redfin.com/TX/Austin/2015-Manor-Rd-78722/unit-216/home/147423201,2015 Manor Rd,"Austin, TX 78722","2015 Manor RdAustin, TX 78722",30.28388,-97.7205,"#216,",Apartment,1,0,520,70,Moderate Noise,Y,8/23/2019,Y,28750,N,N,218000,2019
https://www.redfin.com/TX/Austin/2015-Manor-Rd-78722/unit-118/home/146397104,2015 Manor Rd,"Austin, TX 78722","2015 Manor Rd Austin, TX 78722",30.28388,-97.7205,"#118,",Apartment,1,1,744,70,Moderate Noise,Y,8/21/2019,Y,28750,N,N,274920,2019
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-16/home/144007596,4020 Airport Blvd,"Austin, TX 78722","4020 Airport BlvdAustin, TX 78722",30.29311,-97.7082,#16,Apartment,3,4,2186,70,Moderate Noise,Y,7/30/2018,Y,3049,Y,Y,549000,2017
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-11/home/144007591,4020 Airport Blvd,"Austin, TX 78722","4020 Airport BlvdAustin, TX 78722",30.29311,-97.7082,#11,Apartment,2.5,3,1931,70,Moderate Noise,Y,5/25/2018,Y,3843,Y,N,489000,2018
https://www.redfin.com/TX/Austin/4004-Airport-Blvd-78722/unit-19/home/144007599,4020 Airport Blvd,"Austin, TX 78722","4020 Airport BlvdAustin, TX 78722",30.29311,-97.7082,#19,Apartment,2.5,3,1931,70,Moderate Noise,Y,2/21/2019,Y,3843,Y,N,528650,2018
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-5/home/144007585,4020 Airport Blvd,"Austin, TX 78722","4020 Airport BlvdAustin, TX 78722",30.29311,-97.7082,#5,Apartment,2.5,2,1500,70,Moderate Noise,Y,9/29/2017,Y,2928,Y,N,435000,2017
https://www.redfin.com/TX/Austin/4020-Airport-Blvd-78722/unit-1/home/144007581,4020 Airport Blvd,"Austin, TX 78722","4020 Airport BlvdAustin, TX 78722",30.29311,-97.7082,#1,Apartment,2,2,1498,70,Moderate Noise,N,1/31/2018,N,3049,Y,Y,452000,2017
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-309/home/169742754,2213 Poquito St,"Austin, TX 78722","2213 Poquito St Austin, TX 78722",30.28374,-97.72066," #309,",Apartment,2.5,2,1602,71,Moderate Noise,Y,5/5/2021,Y,28750,N,N,650000,2018
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-106/home/169742705,2213 Poquito St,"Austin, TX 78722","2213 Poquito St Austin, TX 78722",30.28374,-97.72066," #106, Austin, TX 78722",Apartment,1.5,2,1125,71,Moderate Noise,Y,10/21/2020,Y,28750,Y,Y,500000,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-122/home/169742716,2213 Poquito St,"Austin, TX 78722","2213 Poquito St Austin, TX 78722",30.28374,-97.72066,Unit #122,Apartment,1,1,747,71,Moderate Noise,Y,10/3/2020,Y,28750,Y,N,289000,2018
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-105/home/169742703,2213 Poquito St,"Austin, TX 78722","2213 Poquito St Austin, TX 78722",30.28374,-97.72066," #105,",Apartment,1,1,820,71,Moderate Noise,Y,7/20/2020,Y,28750,Y,Y,312000,2018
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-101/home/148601681,2213 Poquito St,"Austin, TX 78722","2213 Poquito St Austin, TX 78722",30.28374,-97.72066," #101, Austin, TX 78722",Apartment,1,1,821,71,Moderate Noise,N,8/18/2020,N,28750,N,N,317000,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-124/home/148026373,2213 Poquito St,"Austin, TX 78722","2213 Poquito StAustin, TX 78722",30.28374,-97.7207,#124,Apartment,1,1,744,71,Moderate Noise,Y,12/31/2019,Y,28750,Y,N,290000,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-220/home/167102333,2213 Poquito St,"Austin, TX 78722","2213 Poquito StAustin, TX 78722",30.28374,-97.7207,#220,Apartment,1,0,520,71,Moderate Noise,Y,8/16/2019,Y,28750,N,N,220000,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-111/home/160628665,2213 Poquito St,"Austin, TX 78722","2213 Poquito StAustin, TX 78722",30.28374,-97.7207,#111,Apartment,1,0,407,71,Moderate Noise,Y,8/23/2019,Y,28750,N,N,144200,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-112/home/167025683,2213 Poquito St,"Austin, TX 78722","2213 Poquito StAustin, TX 78722",30.28374,-97.7207,#112,Apartment,1,0,407,71,Moderate Noise,Y,10/31/2019,Y,28750,N,N,144200,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-127/home/169633162,2213 Poquito St,"Austin, TX 78722","2213 Poquito StAustin, TX 78722",30.28374,-97.7207,#127,Apartment,2,2,1016,71,Moderate Noise,Y,12/2/2019,Y,28750,N,N,395000,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-110/home/160751482,2213 Poquito St,"Austin, TX 78722","2213 Poquito St Austin, TX 78722",30.28374,-97.7207,#110,Apartment,1,0,407,71,Moderate Noise,Y,12/9/2019,Y,28750,N,N,175000,2019
https://www.redfin.com/TX/Austin/2213-Poquito-St-78722/unit-222/home/167071317,2213 Poquito St,", Austin, TX 78722","2213 Poquito St , Austin, TX 78722",30.28374,-97.7207,#222,Apartment,2,2,1214,71,Moderate Noise,Y,9/5/2019,Y,28750,N,N,440000,2019
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-205/home/147339429,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.71663,Unit #205,Apartment,1,2,820,74,Moderate Noise,Y,3/20/2021,Y,61855,N,N,215000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-128/home/147334463,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.71663," #128,",Apartment,1,1,700,74,Moderate Noise,Y,7/7/2020,Y,61855,N,N,194900,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-224/home/147334474,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.71663," #224,",Apartment,1,1,700,74,Moderate Noise,Y,8/6/2020,Y,61855,N,N,207500,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-127/home/147339416,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.71663," #127,",Apartment,1,1,700,74,Moderate Noise,Y,6/26/2020,N,61855,N,N,195800,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-103/home/147116483,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.71663,"#103, Austin, TX 78722",Apartment,1,2,820,74,Moderate Noise,Y,5/1/2021,N,61855,N,N,219000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-219/home/147339446,2401 Manor Rd ,"Austin, TX 78722","2401 Manor Rd  Austin, TX 78722",30.28437,-97.71663,"#219,",Apartment,1,2,820,74,Moderate Noise,Y,1/7/2020,N,61855,N,N,226500,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-120/home/147339407,2401 Manor Rd ,"Austin, TX 78722","2401 Manor Rd  Austin, TX 78722",30.28437,-97.71663,"#120,",Apartment,1,2,800,74,Moderate Noise,Y,12/1/2020,Y,61855,N,N,210000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-216A/home/147339469,2401 Manor Rd ,"Austin, TX 78722","2401 Manor Rd  Austin, TX 78722",30.28437,-97.71663,"Unit 216A,",Apartment,1,1,419,74,Moderate Noise,Y,5/5/2021,N,61855,N,N,155000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-203/home/147334468,2401 Manor Rd ,"Austin, TX 78722","2401 Manor Rd  Austin, TX 78722",30.28437,-97.71663,"203,",Apartment,1,2,820,74,Moderate Noise,Y,3/31/2021,N,61855,N,N,208000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-212/home/147339439,2401 Manor Rd ,"Austin, TX 78722","2401 Manor Rd  Austin, TX 78722",30.28437,-97.71663,"#212,",Apartment,1,2,820,74,Moderate Noise,Y,1/25/2021,N,61855,N,N,209000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-113/home/147334459,2401 Manor Rd ,"Austin, TX 78722","2401 Manor Rd  Austin, TX 78722",30.28437,-97.71663,#113,Apartment,1,2,820,74,Moderate Noise,Y,12/21/2020,Y,61855,N,N,203900,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-101/home/147339382,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.7166,#101,Apartment,1,2,800,74,Moderate Noise,Y,7/12/2019,Y,61855,N,N,215000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-235/home/145274154,2401 Manor Rd,"Austin, TX 78722","2401 Manor Rd Austin, TX 78722",30.28437,-97.7166,#235,Apartment,1,2,770,74,Moderate Noise,Y,10/12/2018,Y,61855,N,N,209900,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-233/home/147339459,2401 Manor Rd,", Austin, TX 78722","2401 Manor Rd , Austin, TX 78722",30.28437,-97.7166,#233,Apartment,1,2,800,74,Moderate Noise,Y,5/22/2019,Y,61855,N,N,210000,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-201/home/143090026,2401 Manor Rd,", Austin, TX 78722","2401 Manor Rd , Austin, TX 78722",30.28437,-97.7166,#201,Apartment,1,2,820,74,Moderate Noise,Y,8/4/2017,N,61855,N,N,209900,1963
https://www.redfin.com/TX/Austin/2401-Manor-Rd-78722/unit-204/home/147334469,2401 Manor Rd,", Austin, TX 78722","2401 Manor Rd , Austin, TX 78722",30.28437,-97.7166,#204,Apartment,1,2,800,74,Moderate Noise,Y,10/10/2019,N,61855,N,N,215000,1963
https://www.redfin.com/TX/Austin/1110-Concordia-Ave-78705/home/53499914,1110 Concordia Ave,"Austin, TX 78722","1110 Concordia Ave Austin, TX 78722",30.29271,-97.72007,,House,4,4,2165,63,High Noise,N,1/8/2021,N,4356,N,N,690000,2013
https://www.redfin.com/TX/Austin/3306-Robinson-Ave-78722/home/31406894,3306 Robinson Ave,"Austin, TX 78722","3306 Robinson AveAustin, TX 78722",30.29104,-97.721,,House,1,2,919,63,High Noise,Y,11/25/2019,Y,6186,Y,Y,485000,1950
https://www.redfin.com/TX/Austin/4202-Bradwood-Rd-78722/home/31418633,4202 Bradwood Rd,"Austin, TX 78722","4202 Bradwood RdAustin, TX 78722",30.29885,-97.7163,,House,4,4,1956,63,High Noise,N,4/10/2018,Y,15246,Y,Y,438000,1941
https://www.redfin.com/TX/Austin/3312-Robinson-Ave-78722/unit-B/home/31406891,3312 Robinson Ave,"Austin, TX 78722","3312 Robinson AveAustin, TX 78722",30.29141,-97.7208,Unit B,House,2,1,1414,64,High Noise,N,7/5/2017,N,6329,N,N,339900,2016
https://www.redfin.com/TX/Austin/3402-Robinson-Ave-78722/home/31406889,3402 Robinson Ave,"Austin, TX 78722","3402 Robinson AveAustin, TX 78722",30.29163,-97.7206,,House,2,3,1699,64,High Noise,Y,3/29/2017,N,6403,Y,Y,455000,1936
https://www.redfin.com/TX/Austin/3412-Robinson-Ave-78722/home/31406884,3412 Robinson Ave,"Austin, TX 78722","3412 Robinson AveAustin, TX 78722",30.29212,-97.7203,,House,1,2,980,64,High Noise,Y,12/31/2019,N,6403,Y,Y,412000,1935
https://www.redfin.com/TX/Austin/3508-Robinson-Ave-78722/home/31406816,"3508 Robinson Ave,","Austin, TX 78722","3508 Robinson Ave,Austin, TX 78722",30.29312,-97.7196,,House,1,2,852,64,High Noise,N,8/16/2018,N,6316,N,N,323000,1947
https://www.redfin.com/TX/Austin/3507-Robinson-Ave-78722/home/31406852,"3507 Robinson Ave,","Austin, TX 78722","3507 Robinson Ave, Austin, TX 78722",30.29282,-97.71927,,House,1,2,840,65,High Noise,N,9/8/2020,N,5227,N,N,415000,1939
https://www.redfin.com/TX/Austin/3503-Robinson-Ave-78722/home/31406842,3503 Robinson Av,"Austin, TX 78722","3503 Robinson Av Austin, TX 78722",30.29256,-97.71944,,House,2,2,808,65,High Noise,Y,10/14/2020,Y,5053,Y,Y,425000,1939
https://www.redfin.com/TX/Austin/3110-Robinson-Ave-78722/unit-B/home/113357128,3110 Robinson Ave ,"Austin, TX 78722","3110 Robinson Ave  Austin, TX 78722",30.28898,-97.72206,Unit B,House,1.5,2,1108,65,High Noise,Y,8/5/2020,Y,8276,Y,Y,462000,2016
https://www.redfin.com/TX/Austin/3407-Robinson-Ave-78722/home/31406831,"3407 Robinson Ave,","Austin, TX 78722","3407 Robinson Ave, Austin, TX 78722",30.29167,-97.72003,,House,1,2,960,65,High Noise,Y,8/19/2020,N,5140,Y,Y,500290,1941
https://www.redfin.com/TX/Austin/1204-Crestwood-Rd-78722/home/31418007,1204 Crestwood Rd,"Austin, TX 78722","1204 Crestwood Rd Austin, TX 78722",30.3003,-97.71458,,House,2,3,1907,65,High Noise,N,8/14/2020,Y,12632,N,Y,580000,1947
https://www.redfin.com/TX/Austin/4100-Bradwood-Rd-78722/home/31418651,"4100 Bradwood Rd,","Austin, TX 78722","4100 Bradwood Rd, Austin, TX 78722",30.29767,-97.71641,,House,2,2,2384,65,High Noise,Y,3/9/2021,Y,14375,Y,Y,709000,1958
https://www.redfin.com/TX/Austin/1201-E-28th-St-78722/home/109938766,1201 E 28th St,"Austin, TX 78722","1201 E 28th StAustin, TX 78722",30.28617,-97.7234,,House,2,3,1261,65,High Noise,Y,7/1/2019,Y,3615,Y,N,442000,1998
https://www.redfin.com/TX/Austin/3708-Hollywood-Ave-78722/home/31406612,3708 Hollywood Ave,", Austin, TX 78722","3708 Hollywood Ave, Austin, TX 78722",30.29349,-97.7184,,House,1,2,776,65,High Noise,Y,4/23/2019,N,4922,N,N,330000,1946
https://www.redfin.com/TX/Austin/3709-Hollywood-Ave-78722/home/31406582,"3709 Hollywood Ave,","Austin, TX 78722","3709 Hollywood Ave, Austin, TX 78722",30.29333,-97.71801,,House,1,2,672,66,High Noise,N,12/10/2020,N,5009,N,N,405000,1947
https://www.redfin.com/TX/Austin/3710-Werner-Ave-78722/home/31406682,3710 Werner Ave,"Austin, TX 78722","3710 Werner Ave Austin, TX 78722",30.29327,-97.71764,,House,1,2,738,66,High Noise,Y,1/9/2021,Y,5053,N,Y,425000,1952
https://www.redfin.com/TX/Austin/3111-Robinson-Ave-78722/home/31401017,"3111 Robinson Ave,","Austin, TX 78722","3111 Robinson Ave, Austin, TX 78722",30.28873,-97.72164,,House,2,2,878,66,High Noise,Y,6/8/2020,N,6578,Y,Y,467000,1932
https://www.redfin.com/TX/Austin/4323-Airport-Blvd-78722/home/31417968,"4323 Airport Blvd,","Austin, TX 78722","4323 Airport Blvd, Austin, TX 78722",30.30007,-97.71126,,House,1,2,858,66,High Noise,N,4/9/2021,N,8320,N,N,525000,1947
https://www.redfin.com/TX/Austin/4327-Airport-Blvd-78722/home/31417970,"4327 Airport Blvd,","Austin, TX 78722","4327 Airport Blvd, Austin, TX 78722",30.30024,-97.7116,,House,2,3,1602,66,High Noise,Y,3/22/2021,Y,8320,N,N,545000,1947
https://www.redfin.com/TX/Austin/4320-Airport-Blvd-78722/home/31418686,"4320 Airport Blvd,","Austin, TX 78722","4320 Airport Blvd, Austin, TX 78722",30.29933,-97.711487,,House,2,3,1650,66,High Noise,Y,5/24/2019,Y,9409,Y,Y,570000,1947
https://www.redfin.com/TX/Austin/1206-Crestwood-Rd-78722/home/31418008,"1206 Crestwood Rd,","Austin, TX 78722","1206 Crestwood Rd, Austin, TX 78722",30.3002,-97.71442,,House,2,3,2005,66,High Noise,Y,7/31/2020,N,10716,Y,Y,675000,1947
https://www.redfin.com/TX/Austin/3101-Robinson-Ave-78722/home/31401021,3101 Robinson Ave,"Austin, TX 78722","3101 Robinson AveAustin, TX 78722",30.28812,-97.722,,House,1,2,1471,66,High Noise,Y,2/9/2018,N,6460,Y,Y,470000,1947
https://www.redfin.com/TX/Austin/3204-Hollywood-Ave-78722/home/31401059,"3204 Hollywood Ave,","Austin, TX 78722","3204 Hollywood Ave,Austin, TX 78722",30.28995,-97.7209,,House,1,2,1026,66,High Noise,Y,6/16/2017,Y,8276,N,Y,426750,1948
https://www.redfin.com/TX/Austin/3510-Hollywood-Ave-78722/home/31406608,3510 Hollywood Ave,"Austin, TX 78722","3510 Hollywood AveAustin, TX 78722",30.29291,-97.7188,,House,1,2,856,66,High Noise,Y,7/2/2019,Y,4961,N,N,410000,1946
https://www.redfin.com/TX/Austin/3705-Hollywood-Ave-78722/home/31406599,3705 Hollywood Ave,"Austin, TX 78722","3705 Hollywood AveAustin, TX 78722",30.29308,-97.7182,,House,2,2,1239,66,High Noise,Y,10/15/2019,Y,4907,Y,Y,450000,1946
https://www.redfin.com/TX/Austin/4331-Airport-Blvd-78722/home/31418019,4331 Airport Blvd,", Austin, TX 78722","4331 Airport Blvd, Austin, TX 78722",30.30044,-97.712,,House,2,3,1520,66,High Noise,Y,7/17/2017,Y,6000,Y,N,423000,1948
https://www.redfin.com/TX/Austin/4401-Parkwood-Rd-78722/home/31418017,4401 Parkwood Rd,"Austin, TX 78722","4401 Parkwood RdAustin, TX 78722",30.30064,-97.7123,,House,2,3,1776,66,High Noise,Y,8/3/2018,Y,10890,Y,Y,450000,1949
https://www.redfin.com/TX/Austin/4402-Airport-Blvd-78722/home/31418015,4402 Airport Blvd,"Austin, TX 78722","4402 Airport BlvdAustin, TX 78722",30.30032,-97.7135,,House,2,3,2626,66,High Noise,Y,4/6/2018,N,11326,Y,Y,460000,1946
https://www.redfin.com/TX/Austin/4322-Airport-Blvd-78722/home/31418687,4322 Airport Blvd,"Austin, TX 78722","4322 Airport Blvd Austin, TX 78722",30.29943,-97.71166,,House,1,3,1000,67,High Noise,N,8/13/2020,Y,9496,N,N,362000,1950
https://www.redfin.com/TX/Austin/3305-Hollywood-Ave-78722/home/31406632,3305 Hollywood Ave,"Austin, TX 78722","3305 Hollywood Ave Austin, TX 78722",30.29036,-97.71993,,House,1,2,884,67,High Noise,Y,8/27/2020,Y,5184,N,N,408000,1946
https://www.redfin.com/TX/Austin/1208-Fernwood-Rd-78722/home/31422392,"1208 Fernwood Rd,","Austin, TX 78722","1208 Fernwood Rd, Austin, TX 78722",30.30169,-97.71281,,House,2,3,1856,67,High Noise,Y,7/10/2020,Y,10454,N,N,470000,1947
https://www.redfin.com/TX/Austin/3300-Werner-Ave-78722/home/31406547,3300 Werner Ave,"Austin, TX 78722","3300 Werner Ave Austin, TX 78722",30.29001,-97.71981,,House,1,2,1132,67,High Noise,Y,1/21/2021,Y,4879,Y,Y,539600,1942
https://www.redfin.com/TX/Austin/1209-Fairwood-Rd-78722/home/31422381,"1209 Fairwood Rd,","Austin, TX 78722","1209 Fairwood Rd, Austin, TX 78722",30.30213,-97.71252,,House,1,3,1260,67,High Noise,Y,3/10/2021,Y,9074,Y,Y,584807,1952
https://www.redfin.com/TX/Austin/1205-E-32nd-St-78722/home/31401028,1205 E 32nd St,"Austin, TX 78722","1205 E 32nd St Austin, TX 78722",30.28867,-97.72126,,House,2,4,1700,67,High Noise,Y,10/29/2020,N,6490,Y,Y,687000,1941
https://www.redfin.com/TX/Austin/3706-Werner-Ave-78722/home/31406684,3706 Werner Ave,"Austin, TX 78722","3706 Werner Ave Austin, TX 78722",30.29305,-97.71777,,House,2,3,1466,67,High Noise,Y,9/30/2020,Y,5053,Y,Y,710000,1947
https://www.redfin.com/TX/Austin/1204-E-32nd-St-78722/home/31401052,1204 E 32nd St,"Austin, TX 78722","1204 E 32nd StAustin, TX 78722",30.28908,-97.7212,,House,2,3,1388,67,High Noise,N,10/18/2019,N,8037,N,N,380000,1947
https://www.redfin.com/TX/Austin/1204-Fernwood-Rd-78722/home/31422390,1204 Fernwood Rd,"Austin, TX 78722","1204 Fernwood RdAustin, TX 78722",30.30187,-97.7131,,House,2,3,1894,67,High Noise,N,9/6/2019,N,10224,N,N,535000,1947
